Bedroom,Bathroom,Property Size,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,price,state,facility_count,price_per_sqft
4.0,2.0,1000,,Kenwingston Platz,Kenwingston Group,Freehold,"Jalan Gombak, Setapak, Kuala Lumpur",,,,Service Residence,2,,Non Bumi Lot,340000,Kuala Lumpur,,340.0
3.0,2.0,980,"Parking, Security, Swimming Pool, Playground, Barbeque area, Jogging Track",Kenanga (Park View Court),,Freehold,"Jalan Kenanga 3/8, Melaka City, Melaka",,,,Apartment,1,Low,Non Bumi Lot,250000,Melaka,6,255.10204081632654
3.0,2.0,1000,"Playground, Minimart, Jogging Track, Barbeque area, Parking, Security, Lift",Sri Lavender Apartment,TLS Group,Freehold,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",2007.0,13,445,Apartment,1,Medium,Non Bumi Lot,230000,Selangor,7,230.0
3.0,1.0,592,"Parking, Playground, Minimart, Jogging Track",Flat Pandan Indah,,Leasehold,"jalan pandan indah 3/3, Selangor, Ampang",,,,Flat,1,,Non Bumi Lot,158000,Ampang,4,266.8918918918919
1.0,1.0,467,"Minimart, Gymnasium, Parking, Security",i-Soho @ i-City,i-Berhad,Freehold,"Jalan Plumbum 7/102, Shah Alam, Selangor",,43,956,Studio,,Low,Bumi Lot,305000,Selangor,4,653.1049250535332
3.0,2.0,1100,"Parking, Swimming Pool, Multipurpose hall, Sauna, Minimart, Barbeque area, Security, Playground, Gymnasium, Tennis Court, Lift",D'Piazza Condominium,X-Scan Penang Sdn Bhd,Freehold,"Jalan Mayang Pasir 2, Bayan Baru, Penang",2010.0,19,706,Condominium,1,Low,Non Bumi Lot,425000,Penang,11,386.3636363636364
3.0,2.0,780,"Parking, Playground, Barbeque area, Security",Pangsapuri Sri Alpinia,IOI Properties Group Berhad,Freehold,"Persiaran Indera, Pusat Bandar Puchong, Puchong, Selangor",,5,281,Condominium,1,,Non Bumi Lot,230000,Selangor,4,294.87179487179486
3.0,2.0,852,"Parking, Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium, Club house, Barbeque area, Minimart, Jogging Track, Lift",Vista Lavender,Talam Transform Berhad,Leasehold,"Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor",2000.0,12,,Apartment,1,,Non Bumi Lot,200000,Selangor,11,234.7417840375587
3.0,2.0,918,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Pangsapuri Damai,Ikram Ikhlas,Leasehold,"Jalan Tokoh 25/28, Shah Alam, Selangor",,,,Apartment,1,,Bumi Lot,275000,Selangor,6,299.56427015250546
3.0,2.0,850,"Multipurpose hall, Parking, Security, Swimming Pool",Alam Prima,Syarikat Perumahan Negara Berhad,Freehold,"No. 6 Jalan Budiman 22/3, Seksyen 22,, Shah Alam, Selangor",2010.0,435,435,Apartment,2,,Bumi Lot,300000,Selangor,4,352.94117647058823
3.0,2.0,660,"Parking, Playground, Security",Sri Aman Block C (Sri Aman Block 1 & 3),,Freehold,"Persiaran Paya Terubong 3, Bukit Jambul, Penang",2008.0,18,701,Apartment,1,Medium,Non Bumi Lot,265000,Penang,3,401.5151515151515
3.0,2.0,1246,"Playground, Gymnasium, Sauna, Security, Swimming Pool, Parking, Jogging Track, Lift, Barbeque area",QuayWest Residence,Asia Green Group,Freehold,"Persiaran Bayan Indah Off Bayan Mutiara, Batu Uban, Penang",2021.0,24,1235,Condominium,2,Medium,Non Bumi Lot,790000,Penang,9,634.0288924558588
2.0,1.0,550,"Security, Parking",Taman Relau Jaya,,Freehold,"Lebuh Relau 3, Sungai Ara, Penang",,,,Flat,1,Low,Non Bumi Lot,230000,Penang,2,418.1818181818182
3.0,2.0,1250,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Ameera Residence,TLS Group,Freehold,"Jalan Mutiara 3, Mutiara Heights,, Kajang, Selangor",2016.0,,428,Condominium,2,,Non Bumi Lot,340000,Selangor,11,272.0
3.0,2.0,1048,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Lift",Intan Apartment (Puchong),,Freehold,"Jalan Intan, Taman Puchong Intan, Puchong, Selangor",1990.0,10,,Apartment,1,,Non Bumi Lot,230000,Selangor,12,219.46564885496184
3.0,2.0,1150,"Swimming Pool, Barbeque area, Parking, Tennis Court, Minimart, Playground, Squash Court, Sauna, Security, Gymnasium, Lift, Club house",Leader Garden,,Freehold,"No 1, Jalan Chee Seng 13, Tanjung Bungah, Penang",1998.0,,428,Condominium,1,Low,Non Bumi Lot,430000,Penang,12,373.9130434782609
2.0,1.0,553,,Seksyen 1 flat block c4,,Leasehold,"Seksyen 1 flat block c4, Kuala Lumpur, Wangsa Maju",,,,Flat,,High,Bumi Lot,155000,Wangsa Maju,,280.2893309222423
3.0,2.0,901,"Parking, Swimming Pool, Jogging Track, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall",Eco Bloom @ Eco Meadows,Eco World Development Group Berhad,Freehold,"Jalan Paboi, Simpang Ampat, Penang",2020.0,33,490,Condominium,2,High,Non Bumi Lot,500000,Penang,8,554.9389567147614
1.0,1.0,452,"Security, Swimming Pool, Gymnasium, Parking, Minimart, Multipurpose hall, Barbeque area, Lift",Paramount Utropolis,Paramount Property,Freehold,"Jalan Kontraktor U1/14, Hicom-Glenmarie Industrial Park, Shah Alam, Selangor",2020.0,12,136,Studio,1,High,Bumi Lot,350000,Selangor,8,774.3362831858407
2.0,2.0,1016,"Playground, Swimming Pool, Sauna, Security, Gymnasium, Multipurpose hall, Barbeque area, Parking",Grace Residence,Nova Mulia Development Sdn Bhd,Freehold,"Jalan Jelutong, Off Tun Dr. Lim Chong Eu Hwy, Jelutong, Penang",2018.0,44,378,Condominium,2,Medium,Non Bumi Lot,620000,Penang,8,610.2362204724409
4.0,2.0,900,"Parking, Security, Barbeque area, Playground",Sri Baiduri Apartment,,Freehold,"Jalan UP 4/5, Sri Baiduri, Ampang, Selangor",,5,,Apartment,2,Low,Bumi Lot,310000,Selangor,4,344.44444444444446
3.0,2.0,650,"Minimart, Security, Parking, Playground, Lift",Kasturi Apartment (Bdr Tasik Permaisuri),,Leasehold,"Jalan Permaisuri 3, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",,17,,Apartment,1,Low,Bumi Lot,240000,Kuala Lumpur,5,369.2307692307692
3.0,2.0,1182,"Minimart, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Parking, Security, Sauna",Sierra Residences,GSD Land (M) Sdn Bhd,Freehold,"Jalan Fettes, Off Jalan Paya Terubong, Sungai Ara, Penang",2015.0,25,300,Condominium,2,High,Non Bumi Lot,500000,Penang,9,423.01184433164127
3.0,2.0,872,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kajang Service Apartment,,Freehold,"Kajang, Selangor, Kajang",,,,Apartment,2,Medium,Non Bumi Lot,341500,Kajang,12,391.6284403669725
